nse_symbol,fyers_symbol,isin,name,fytoken,last_updated
ABREL,NSE:ABREL-EQ,INE055A01016,ADITYA BIRLA REAL EST LTD,1010000000625,2026-08-27
ABSLAMC,NSE:ABSLAMC-EQ,INE404A01024,ADIT BIRL SUN LIF AMC LTD,10100000006018,2026-08-27
ACC,NSE:ACC-EQ,INE012A01025,ACC LIMITED,101000000022,2026-08-27
ACCELYA,NSE:ACCELYA-EQ,INE793A01012,ACCELYA SOLN INDIA LTD,10100000007053,2026-08-27
ACE,NSE:ACE-EQ,INE731H01025,ACTION CONST EQUIP LTD,101000000013587,2026-08-27
ACEINTEG,NSE:ACEINTEG-EQ,INE543V01017,ACE INTEGRATED SOLU. LTD.,101000000011779,2026-08-27
ACGL,NSE:ACGL-EQ,INE451C01013,AUTOMOBILE CORPN OF GOA L,1010000000764558,2026-08-27
ACI,NSE:ACI-EQ,INE128X01021,ARCHEAN CHEMICAL IND LTD,101000000012024,2026-08-27
ACL,NSE:ACL-EQ,INE666E01020,ANDHRA CEMENTS LIMITED,101000000015420,2026-08-27
ACMESOLAR,NSE:ACMESOLAR-EQ,INE622W01025,ACME SOLAR HOLDINGS LTD,101000000027061,2026-08-27
ACUTAAS,NSE:ACUTAAS-EQ,INE00FF01025,ACUTAAS CHEMICALS LIMITED,10100000005578,2026-08-27
ADANIENSOL,NSE:ADANIENSOL-EQ,INE931S01010,ADANI ENERGY SOLUTION LTD,101000000010217,2026-08-27
ADANIENT,NSE:ADANIENT-EQ,INE423A01024,ADANI ENTERPRISES LIMITED,101000000025,2026-08-27
ADANIGREEN,NSE:ADANIGREEN-EQ,INE364U01010,ADANI GREEN ENERGY LTD,10100000003563,2026-08-27
ADANIPORTS,NSE:ADANIPORTS-EQ,INE742F01042,ADANI PORT & SEZ LTD,101000000015083,2026-08-27
ADANIPOWER,NSE:ADANIPOWER-EQ,INE814H01029,ADANI POWER LTD,101000000017388,2026-08-27
ADDIND,NSE:ADDIND-EQ,INE757C01021,ADDI INDUSTRIES LTD.,1010000000764563,2026-08-27
ADFFOODS,NSE:ADFFOODS-EQ,INE982B01027,ADF FOODS LIMITED,101000000019761,2026-08-27
ADL,NSE:ADL-EQ,INE0CHO01012,ARCHIDPLY DECOR LIMITED,1010000000245,2026-08-27
ADOR,NSE:ADOR-EQ,INE045A01017,ADOR WELDING LTD,101000000034,2026-08-27
ADROITINFO,NSE:ADROITINFO-EQ,INE737B01033,ADROIT INFOTECH LIMITED,10100000004953,2026-08-27
ADSL,NSE:ADSL-EQ,INE102I01027,ALLIED DIGITAL SERV. LTD,101000000014813,2026-08-27
ADVAIT,NSE:ADVAIT-EQ,INE0ALI01010,ADVAIT ENRGY TRANSITION L,1010000000760657,2026-08-27
ADVANCE,NSE:ADVANCE-EQ,INE1B0W01010,ADVANCE AGROLIFE LIMITED,1010000000759402,2026-08-27
ADVANIHOTR,NSE:ADVANIHOTR-EQ,INE199C01026,ADVANI HOT.& RES.(I) LTD,101000000014745,2026-08-27
ADVENTHTL,NSE:ADVENTHTL-EQ,INE28GN01010,ADVENT HOTELS INTERNATI L,1010000000759769,2026-08-27
ADVENZYMES,NSE:ADVENZYMES-EQ,INE837H01020,ADVANCED ENZYME TECH LTD,101000000018039,2026-08-27
ADVIKCA,NSE:ADVIKCA-EQ,INE178T01024,ADVIK CAPITAL LTD.,1010000000765015,2026-08-27
AEGISLOG,NSE:AEGISLOG-EQ,INE208C01025,AEGIS LOGISTICS LIMITED,101000000040,2026-08-27
AEGISVOPAK,NSE:AEGISVOPAK-EQ,INE0INX01018,AEGIS VOPAK TERMINALS LTD,1010000000757336,2026-08-27
AEPL,NSE:AEPL-EQ,INE757T01025,ARTEMIS ELECTRICALS & P L,1010000000761330,2026-08-27
AEQUS,NSE:AEQUS-EQ,INE947N01017,AEQUS LIMITED,1010000000760234,2026-08-27
AEROENTER,NSE:AEROENTER-EQ,INE065D01027,AEROFLEX ENTERPRISES LTD,101000000012015,2026-08-27
AEROFLEX,NSE:AEROFLEX-EQ,INE024001021,AEROFLEX INDUSTRIES LTD,101000000018268,2026-08-27
AERONEU,NSE:AERONEU-EQ,INE035801013,AEROFLEX NEU LIMITED,101000000013689,2026-08-27
AEROPLANE,NSE:AEROPLANE-EQ,INE05TO01019,AMIR CHAND JAG KUM (E) L,1010000000761670,2026-08-27
AETHER,NSE:AETHER-EQ,INE0BWX01014,AETHER INDUSTRIES LIMITED,10100000009810,2026-08-27
AFCONS,NSE:AFCONS-EQ,INE101I01011,AFCONS INFRASTRUCTURE LTD,101000000025977,2026-08-27
AFFLE,NSE:AFFLE-EQ,INE00WC01027,AFFLE 3I LIMITED,101000000011343,2026-08-27
AFIL,NSE:AFIL-EQ,INE916Y01027,AKME FINTRADE (INDIA) LTD,101000000024159,2026-08-27
AFSL,NSE:AFSL-EQ,INE00ZE01026,ABANS FINANCIAL SRVCS LTD,101000000013288,2026-08-27
AGARIND,NSE:AGARIND-EQ,INE204E01012,AGARWAL INDS CORP LTD.,10100000003389,2026-08-27
AGARWALEYE,NSE:AGARWALEYE-EQ,INE943P01029,DR AGARWALS HEALTH CARE L,101000000029452,2026-08-27
AGI,NSE:AGI-EQ,INE415A01038,AGI GREENPAC LIMITED,10100000001412,2026-08-27
AGIIL,NSE:AGIIL-EQ,INE976R01033,AGI INFRA LIMITED,101000000024445,2026-08-27
AGL,NSE:AGL-EQ,INE1YPB01014,ALLCARGO GLOBAL LIMITED,1010000000763784,2026-08-27
AGRITECH,NSE:AGRITECH-EQ,INE449G01018,AGRI-TECH (INDIA) LIMITED,101000000011072,2026-08-27
AGROPHOS,NSE:AGROPHOS-EQ,INE740V01019,AGRO PHOS INDIA LIMITED,10100000009046,2026-08-27
AHCL,NSE:AHCL-EQ,INE0Y8W01025,ANLON HEALTHCARE LIMITED,1010000000758968,2026-08-27
AHLADA,NSE:AHLADA-EQ,INE00PV01013,AHLADA ENGINEERS LIMITED,10100000002004,2026-08-27
AHLEAST,NSE:AHLEAST-EQ,INE926K01017,ASIAN HOTELS (EAST) LTD,101000000019438,2026-08-27
AHLUCONT,NSE:AHLUCONT-EQ,INE758C01029,AHLUWALIA CONT IND LTD,101000000017833,2026-08-27
AIAENG,NSE:AIAENG-EQ,INE212H01026,AIA ENGINEERING LIMITED,101000000013086,2026-08-27
AIIL,NSE:AIIL-EQ,INE206F01022,AUTHUM INVEST & INFRA LTD,101000000023553,2026-08-27
AIRAN,NSE:AIRAN-EQ,INE645W01026,AIRAN LIMITED,10100000009897,2026-08-27
AIROLAM,NSE:AIROLAM-EQ,INE801L01010,AIRO LAM LIMITED,10100000006068,2026-08-27
AJANTPHARM,NSE:AJANTPHARM-EQ,INE031B01049,AJANTA PHARMA LIMITED,10100000008124,2026-08-27
AJAXENGG,NSE:AJAXENGG-EQ,INE274Y01021,AJAX ENGINEERING LIMITED,101000000029624,2026-08-27
AJMERA,NSE:AJMERA-EQ,INE298G01035,AJMERA REALTY & INF I LTD,101000000017307,2026-08-27
AJOONI,NSE:AJOONI-EQ,INE820Y01021,AJOONI BIOTECH LIMITED,10100000003403,2026-08-27
AKASH,NSE:AKASH-EQ,INE737W01013,AKASH INFRA-PROJECTS LTD,101000000013510,2026-08-27
AKCAPIT,NSE:AKCAPIT-EQ,INE701G01012,A K CAPITAL SERVICES LTD.,1010000000762538,2026-08-27
AKG,NSE:AKG-EQ,INE00Y801016,AKG EXIM LIMITED,10100000002176,2026-08-27
AKI,NSE:AKI-EQ,INE642Z01026,AKI INDIA LIMITED,101000000014890,2026-08-27
AKSHAR,NSE:AKSHAR-EQ,INE256Z01025,AKSHAR SPINTEX LIMITED,10100000009558,2026-08-27
AKUMS,NSE:AKUMS-EQ,INE09XN01023,AKUMS DRUGS AND PHARMA L,101000000024715,2026-08-27
ALANKIT,NSE:ALANKIT-EQ,INE914E01040,ALANKIT LIMITED,10100000009921,2026-08-27
ALBERTDAVD,NSE:ALBERTDAVD-EQ,INE155C01010,ALBERT DAVID LIMITED,101000000017256,2026-08-27
ALEMBICLTD,NSE:ALEMBICLTD-EQ,INE426A01027,ALEMBIC LIMITED,101000000079,2026-08-27
ALFREDHE,NSE:ALFREDHE-EQ,INE782D01027,ALFRED HERBERT INDIA L,1010000000764573,2026-08-27
ALGOQUANT,NSE:ALGOQUANT-EQ,INE598D01035,ALGOQUANT FINTECH LIMITED,1010000000761270,2026-08-27
ALICON,NSE:ALICON-EQ,INE062D01024,ALICON CASTALLOY LIMITED,101000000013656,2026-08-27
ALIVUS,NSE:ALIVUS-EQ,INE03Q201024,ALIVUS LIFE SCIENCES LTD,10100000005265,2026-08-27
ALKEM,NSE:ALKEM-EQ,INE540L01014,ALKEM LABORATORIES LTD.,101000000011703,2026-08-27
ALKYLAMINE,NSE:ALKYLAMINE-EQ,INE150B01039,ALKYL AMINES CHEM. LTD,10100000004487,2026-08-27
ALLCARGO,NSE:ALLCARGO-EQ,INE418H01029,ALLCARGO LOGISTICS LTD,101000000013501,2026-08-27
ALLDIGI,NSE:ALLDIGI-EQ,INE835G01018,ALLDIGI TECH LIMITED,101000000011798,2026-08-27
ALLTIME,NSE:ALLTIME-EQ,INE0GV601021,ALL TIME PLASTICS LIMITED,1010000000758448,2026-08-27
ALMONDZ,NSE:ALMONDZ-EQ,INE326B01035,ALMONDZ GLOBAL SEC LTD,101000000016719,2026-08-27
ALOKINDS,NSE:ALOKINDS-EQ,INE270A01029,ALOK INDUSTRIES LIMITED,101000000017675,2026-08-27
ALPA,NSE:ALPA-EQ,INE385I01010,ALPA LABORATORIES LTD,101000000014848,2026-08-27
ALPINETEX,NSE:ALPINETEX-EQ,INE1JCQ01037,ALPINE TEXWORLD LIMITED,1010000000764186,2026-08-27
ALUFLUOR,NSE:ALUFLUOR-EQ,INE058F01019,ALUFLUORIDE LTD.,1010000000764578,2026-08-27
AMAGI,NSE:AMAGI-EQ,INE121R01077,AMAGI MEDIA LABS LIMITED,1010000000760740,2026-08-27
AMAL,NSE:AMAL-EQ,INE841D01013,AMAL LTD.,1010000000764583,2026-08-27
AMARJOTHI,NSE:AMARJOTHI-EQ,INE484D01012,AMARJOTHI SPINNING MILL L,1010000000764588,2026-08-27
AMBER,NSE:AMBER-EQ,INE371P01015,AMBER ENTERPRISES (I) LTD,10100000001185,2026-08-27
AMBICAAGAR,NSE:AMBICAAGAR-EQ,INE792B01012,AMBICA AGAR & AROMAINDLTD,101000000011496,2026-08-27
AMBIKCO,NSE:AMBIKCO-EQ,INE540G01014,AMBIKA COTTON MILL LTD.,101000000015234,2026-08-27
AMBUJACEM,NSE:AMBUJACEM-EQ,INE079A01024,AMBUJA CEMENTS LTD,10100000001270,2026-08-27
AMDIND,NSE:AMDIND-EQ,INE005I01014,AMD INDUSTRIES LIMITED,101000000014398,2026-08-27
AMJLAND,NSE:AMJLAND-EQ,INE606A01024,AMJ LAND HOLDINGS LIMITED,10100000002598,2026-08-27
AMNPLST,NSE:AMNPLST-EQ,INE275D01022,AMINES & PLASTICIZERS LTD,101000000019867,2026-08-27
AMRUTANJAN,NSE:AMRUTANJAN-EQ,INE098F01031,AMRUTAJAN HEALTH LTD,101000000017547,2026-08-27
ANANDRATHI,NSE:ANANDRATHI-EQ,INE463V01026,ANAND RATHI WEALTH LTD,10100000007145,2026-08-27
ANANTRAJ,NSE:ANANTRAJ-EQ,INE242C01024,ANANT RAJ LIMITED,101000000013620,2026-08-27
ANDHRAPAP,NSE:ANDHRAPAP-EQ,INE435A01051,ANDHRA PAPER LIMITED,1010000000166,2026-08-27
ANDHRSUGAR,NSE:ANDHRSUGAR-EQ,INE715B01021,ANDHRA SUGARS LTD,1010000000136,2026-08-27
ANDREWYU,NSE:ANDREWYU-EQ,INE449C01025,ANDREW YULE & CO. LTD.,10100000005206,2026-08-27
ANGELONE,NSE:ANGELONE-EQ,INE732I01021,ANGEL ONE LIMITED,1010000000324,2026-08-27
ANIKINDS,NSE:ANIKINDS-EQ,INE087B01017,ANIK INDUSTRIES LTD,101000000016657,2026-08-27
ANMOL,NSE:ANMOL-EQ,INE02AR01019,ANMOL INDIA LIMITED,10100000003727,2026-08-27
ANNAPURNA,NSE:ANNAPURNA-EQ,INE0MGM01017,ANNAPURNA SWADISHT LTD,1010000000764471,2026-08-27
ANSALBU,NSE:ANSALBU-EQ,INE030C01015,ANSAL BUILDWELL LTD.,1010000000765020,2026-08-27
ANTELOPUS,NSE:ANTELOPUS-EQ,INE818A01017,ANTELOPUS SELAN ENRGY LTD,101000000013598,2026-08-27
ANTGRAPHIC,NSE:ANTGRAPHIC-EQ,INE414B01021,ANTARCTICA LTD,10100000005194,2026-08-27
ANTHEM,NSE:ANTHEM-EQ,INE0CZ201020,ANTHEM BIOSCIENCES LTD,1010000000757885,2026-08-27
ANUHPHR,NSE:ANUHPHR-EQ,INE489G01022,ANUH PHARMA LIMITED,101000000028314,2026-08-27
ANUP,NSE:ANUP-EQ,INE294Z01018,THE ANUP ENGINEERING LTD,10100000009014,2026-08-27
ANURAS,NSE:ANURAS-EQ,INE930P01018,ANUPAM RASAYAN INDIA LTD,10100000002829,2026-08-27
APARINDS,NSE:APARINDS-EQ,INE372A01015,APAR INDUSTRIES LTD.,101000000011491,2026-08-27
APCL,NSE:APCL-EQ,INE071F01012,ANJANI PORTLAND CEM LTD,101000000020453,2026-08-27
APCOTEXIND,NSE:APCOTEXIND-EQ,INE116A01032,APCOTEX INDUSTRIES LIMITE,1010000000154,2026-08-27
APEX,NSE:APEX-EQ,INE346W01013,APEX FROZEN FOODS LIMITED,101000000021623,2026-08-27
APLAPOLLO,NSE:APLAPOLLO-EQ,INE702C01027,APL APOLLO TUBES LTD,101000000025780,2026-08-27
APLLTD,NSE:APLLTD-EQ,INE901L01018,ALEMBIC PHARMA LTD,101000000025328,2026-08-27
APOLLO,NSE:APOLLO-EQ,INE713T01028,APOLLO MICRO SYSTEMS LTD,10100000001134,2026-08-27
APOLLOHOSP,NSE:APOLLOHOSP-EQ,INE437A01024,APOLLO HOSPITALS ENTER. L,1010000000157,2026-08-27
APOLLOPIPE,NSE:APOLLOPIPE-EQ,INE126J01016,APOLLO PIPES LIMITED,101000000014361,2026-08-27
APOLLOTYRE,NSE:APOLLOTYRE-EQ,INE438A01022,APOLLO TYRES LTD,1010000000163,2026-08-27
APOLSINHOT,NSE:APOLSINHOT-EQ,INE451F01024,APOLLO SINDOORI HOTEL LTD,10100000006302,2026-08-27
APOORVA,NSE:APOORVA-EQ,INE217S01014,APOORVA LEAS F & INV C L,1010000000764593,2026-08-27
APTUS,NSE:APTUS-EQ,INE852O01025,APTUS VALUE HSG FIN I LTD,10100000005435,2026-08-27
AQYLON,NSE:AQYLON-EQ,INE416A01051,AQYLON NEXUS LIMITED,101000000023365,2026-08-27
ARCHIDPLY,NSE:ARCHIDPLY-EQ,INE877I01016,ARCHIDPLY IND. LTD,101000000016795,2026-08-27
ARCHIES,NSE:ARCHIES-EQ,INE731A01020,ARCHIES LTD,10100000005688,2026-08-27
ARCL,NSE:ARCL-EQ,INE372M01010,ARCL ORGANICS LTD.,1010000000764598,2026-08-27
ARDEE,NSE:ARDEE-EQ,INE0XNF01022,ARDEE INDUSTRIES LIMITED,1010000000764480,2026-08-27
ARE&M,NSE:ARE&M-EQ,INE885A01032,AMARA RAJA ENERGY MOB LTD,1010000000100,2026-08-27
ARENTERP,NSE:ARENTERP-EQ,INE610C01014,RAJDARSHAN INDUSTRIES LTD,1010000000181,2026-08-27
ARFIN,NSE:ARFIN-EQ,INE784R01023,ARFIN INDIA LIMITED,1010000000758700,2026-08-27
ARIES,NSE:ARIES-EQ,INE298I01015,ARIES AGRO LTD.,101000000015204,2026-08-27
ARIHANT,NSE:ARIHANT-EQ,INE413D01011,ARIHANT FOUN & HOU LTD,101000000013885,2026-08-27
ARIHANTCAP,NSE:ARIHANTCAP-EQ,INE420B01036,ARIHANT CAPITAL MKTS LTD,10100000003813,2026-08-27
ARIHANTSUP,NSE:ARIHANTSUP-EQ,INE643K01018,ARIHANT SUPERSTRUCT LTD,101000000020159,2026-08-27
ARIS,NSE:ARIS-EQ,INE0H9P01028,ARISINFRA SOLUTIONS LTD,1010000000757614,2026-08-27
ARKADE,NSE:ARKADE-EQ,INE0QRL01017,ARKADE DEVELOPERS LIMITED,101000000025398,2026-08-27
ARMANFIN,NSE:ARMANFIN-EQ,INE109C01017,ARMAN FIN SERV LTD,101000000017263,2026-08-27
AROGRANITE,NSE:AROGRANITE-EQ,INE210C01013,ARO GRANITE IND. LTD.,101000000014557,2026-08-27
ARSSBL,NSE:ARSSBL-EQ,INE549H01021,ANAND RATHI SH N STK BR L,1010000000759956,2026-08-27
ARTEMISMED,NSE:ARTEMISMED-EQ,INE025R01021,ARTEMIS MED SERVICE LTD,101000000016913,2026-08-27
ARTNIRMAN,NSE:ARTNIRMAN-EQ,INE738V01013,ART NIRMAN LIMITED,10100000006156,2026-08-27
ARVEE,NSE:ARVEE-EQ,INE006Z01016,ARVEE LABORATORIES I LTD,10100000002814,2026-08-27
ARVIND,NSE:ARVIND-EQ,INE034A01011,ARVIND LIMITED,1010000000193,2026-08-27
ARVINDFASN,NSE:ARVINDFASN-EQ,INE955V01021,ARVIND FASHIONS LIMITED,10100000009111,2026-08-27
ARVSMART,NSE:ARVSMART-EQ,INE034S01021,ARVIND SMARTSPACES LTD,101000000010457,2026-08-27
ARYAMAN,NSE:ARYAMAN-EQ,INE032E01017,ARYAMAN FINANCIAL SERV L,1010000000764603,2026-08-27
ASAHIINDIA,NSE:ASAHIINDIA-EQ,INE439A01020,ASAHI INDIA GLASS LIMITED,10100000005378,2026-08-27
ASAL,NSE:ASAL-EQ,INE900C01027,AUTOMOTIVE STAMPINGS & AS,101000000010634,2026-08-27
ASALCBR,NSE:ASALCBR-EQ,INE073G01016,ASSO ALCOHOLS & BREW LTD,101000000017598,2026-08-27
ASHAPURMIN,NSE:ASHAPURMIN-EQ,INE348A01023,ASHAPURA MINECHEM LTD,1010000000203,2026-08-27
ASHIANA,NSE:ASHIANA-EQ,INE365D01021,ASHIANA HOUSING LTD,101000000024403,2026-08-27
ASHIMASYN,NSE:ASHIMASYN-EQ,INE440A01010,ASHIMA LTD,1010000000206,2026-08-27
ASHOKA,NSE:ASHOKA-EQ,INE442H01029,ASHOKA BUILDCON LTD,101000000020182,2026-08-27
ASHOKAMET,NSE:ASHOKAMET-EQ,INE760Y01011,ASHOKA METCAST LIMITED,101000000016943,2026-08-27
ASHOKLEY,NSE:ASHOKLEY-EQ,INE208A01029,ASHOK LEYLAND LTD,1010000000212,2026-08-27
ASIANENE,NSE:ASIANENE-EQ,INE276G01015,ASIAN ENERGY SERVICES LTD,10100000007030,2026-08-27
ASIANHOTNR,NSE:ASIANHOTNR-EQ,INE363A01022,ASIAN HOTELS (NORTH) LTD,101000000018422,2026-08-27
ASIANPAINT,NSE:ASIANPAINT-EQ,INE021A01026,ASIAN PAINTS LIMITED,1010000000236,2026-08-27
ASIANTILES,NSE:ASIANTILES-EQ,INE022I01019,ASIAN GRANITO IND. LTD.,101000000014889,2026-08-27
ASIANTNE,NSE:ASIANTNE-EQ,INE822B01017,ASIAN TEA & EXPORTS LTD.,1010000000765025,2026-08-27
ASKAUTOLTD,NSE:ASKAUTOLTD-EQ,INE491J01022,ASK AUTOMOTIVE LIMITED,101000000020152,2026-08-27
ASPINWALL,NSE:ASPINWALL-EQ,INE991I01015,ASPINWALL & CO LTD,101000000017270,2026-08-27
ASSAMENT,NSE:ASSAMENT-EQ,INE165G01010,ASSAM ENTRADE LIMITED,1010000000765237,2026-08-27
ASTAR,NSE:ASTAR-EQ,INE194D01017,ASIAN STAR CO. LTD.,1010000000762553,2026-08-27
ASTEC,NSE:ASTEC-EQ,INE563J01010,ASTEC LIFESCIENCES LTD,101000000017728,2026-08-27
ASTERDM,NSE:ASTERDM-EQ,INE914M01019,ASTER DM QUALITY CARE LTD,10100000001508,2026-08-27
ASTRAL,NSE:ASTRAL-EQ,INE006I01046,ASTRAL LIMITED,101000000014418,2026-08-27
ASTRAMICRO,NSE:ASTRAMICRO-EQ,INE386C01029,ASTRA MICROWAVE LTD,101000000011618,2026-08-27
ASTRAZEN,NSE:ASTRAZEN-EQ,INE203A01020,ASTRAZENECA PHARMA IND LT,10100000005610,2026-08-27
ATALREAL,NSE:ATALREAL-EQ,INE0ALR01029,ATAL REALTECH LIMITED,101000000015649,2026-08-27
ATAM,NSE:ATAM-EQ,INE09KD01013,ATAM VALVES LIMITED,101000000015404,2026-08-27
ATGL,NSE:ATGL-EQ,INE399L01023,ADANI TOTAL GAS LIMITED,10100000006066,2026-08-27
ATHERENERG,NSE:ATHERENERG-EQ,INE0LEZ01016,ATHER ENERGY LIMITED,1010000000757645,2026-08-27
ATL,NSE:ATL-EQ,INE0NN701020,ALLCARGO TERMINALS LTD,101000000017778,2026-08-27
ATLANTAA,NSE:ATLANTAA-EQ,INE285H01022,ATLANTAA LIMITED,101000000013585,2026-08-27
ATLANTAELE,NSE:ATLANTAELE-EQ,INE0Z4F01028,ATLANTA ELECTRICALS LTD,1010000000759007,2026-08-27
ATLASCYCLE,NSE:ATLASCYCLE-EQ,INE446A01025,ATLAS CYCLE (HARYANA) LTD,10100000004568,2026-08-27
ATUL,NSE:ATUL-EQ,INE100A01010,ATUL LTD,1010000000263,2026-08-27
ATULAUTO,NSE:ATULAUTO-EQ,INE951D01028,ATUL AUTO LIMITED,101000000030023,2026-08-27
AUBANK,NSE:AUBANK-EQ,INE949L01017,AU SMALL FINANCE BANK LTD,101000000021238,2026-08-27
AURIONPRO,NSE:AURIONPRO-EQ,INE132H01018,AURIONPRO SOLN LTD,101000000012022,2026-08-27
AUROPHARMA,NSE:AUROPHARMA-EQ,INE406A01037,AUROBINDO PHARMA LTD,1010000000275,2026-08-27
AURUM,NSE:AURUM-EQ,INE898S01029,AURUM PROPTECH LIMITED,101000000010310,2026-08-27
AURUS,NSE:AURUS-EQ,INE142K01011,AURUS GEM CORP LIMITED,101000000031468,2026-08-27
AUSOMENT,NSE:AUSOMENT-EQ,INE218C01016,AUSOM ENTERPRISE LIMITED,10100000004037,2026-08-27
AUSTENG,NSE:AUSTENG-EQ,INE759F01012,AUSTIN ENGINEERING CO. L,1010000000764608,2026-08-27
AUTOAXLES,NSE:AUTOAXLES-EQ,INE449A01011,AUTOMOTIVE AXLES LIMITED,1010000000278,2026-08-27
AUTOIND,NSE:AUTOIND-EQ,INE718H01014,AUTOLINE INDUSTRIES LTD,101000000014106,2026-08-27
AVADHSUGAR,NSE:AVADHSUGAR-EQ,INE349W01017,AVADH SUG & ENERGY LTD,101000000021406,2026-08-27
AVALON,NSE:AVALON-EQ,INE0LCL01028,AVALON TECHNOLOGIES LTD,101000000015058,2026-08-27
AVANCE,NSE:AVANCE-EQ,INE758A01072,AVANCE TECHNOLOGIES LTD.,1010000000765030,2026-08-27
AVANTEL,NSE:AVANTEL-EQ,INE005B01027,AVANTEL LIMITED,101000000024610,2026-08-27
AVANTIFEED,NSE:AVANTIFEED-EQ,INE871C01038,AVANTI FEEDS LIMITED,10100000007936,2026-08-27
AVL,NSE:AVL-EQ,INE679V01027,ADITYA VISION LIMITED,101000000025984,2026-08-27
AVONMORE,NSE:AVONMORE-EQ,INE323B01024,AVONMORE CAP&MGT SERV LTD,101000000013557,2026-08-27
AVROIND,NSE:AVROIND-EQ,INE652Z01025,AVRO INDIA LIMITED,10100000008827,2026-08-27
AVTNPL,NSE:AVTNPL-EQ,INE488D01021,AVT NATURAL PRODUCTS LTD,101000000014008,2026-08-27
AWFIS,NSE:AWFIS-EQ,INE108V01019,AWFIS SPACE SOLUTIONS LTD,101000000023864,2026-08-27
AWHCL,NSE:AWHCL-EQ,INE01BK01022,ANTONY WASTE HDG CELL LTD,10100000001797,2026-08-27
AWL,NSE:AWL-EQ,INE699H01024,AWL AGRI BUSINESS LIMITED,10100000008110,2026-08-27
AXISBANK,NSE:AXISBANK-EQ,INE238A01034,AXIS BANK LIMITED,10100000005900,2026-08-27
AXISCADES,NSE:AXISCADES-EQ,INE555B01013,AXISCADES TECH LTD,10100000009436,2026-08-27
AXITA,NSE:AXITA-EQ,INE02EZ01022,AXITA COTTON LIMITED,10100000009902,2026-08-27
